name,latitude,longitude,iso
Vancouver,49.2734,-123.1216,CA
Birmingham,52.475,-1.92,GB
Cali,3.4,-76.5,CO
Naples,40.84,14.245,IT
Sendai,38.2871,141.0217,JP
Manchester,53.5004,-2.248,GB
Puebla,19.05,-98.2,MX
Tripoli,32.8925,13.18,LY
Tashkent,41.3117,69.2949,UZ
Havana,23.132,-82.3642,CU
Gaoping,30.7804,106.13,CN
Baltimore,39.3051,-76.6144,US
Nanning,22.82,108.32,CN
Belem,-1.45,-48.48,BR
Patna,25.625,85.13,IN
Santo Domingo,18.4701,-69.9001,DO
Urumqi,43.805,87.575,CN
Zaozhuang,34.88,117.57,CN
Baku,40.3953,49.8622,AZ
Accra,5.55,-0.2167,GH
Yantai,37.5304,121.4,CN
Medan,3.58,98.65,ID
Santa Cruz,-17.7539,-63.226,BO
Tongshan,34.28,117.18,CN
Riverside,33.9381,-117.3948,US
Linyi,35.08,118.33,CN
St. Louis,38.6358,-90.2451,US
Las Vegas,36.2333,-115.2654,US
Maracaibo,10.73,-71.66,VE
Kuwait City,29.3697,47.9783,KW
Ad Dammam,26.4282,50.0997,SA
Portland,45.5371,-122.65,US
Haikou,20.05,110.32,CN
Hiroshima,34.3878,132.4429,JP
Baotou,40.6522,109.822,CN
Hefei,31.85,117.28,CN
Indore,22.7151,75.865,IN
Goiania,-16.72,-49.3,BR
Sanaa,15.3547,44.2066,YE
San Antonio,29.4658,-98.5254,US
Port-au-Prince,18.541,-72.336,HT
Haiphong,20.83,106.6801,VN
Suzhou,33.6361,116.9789,CN
Nanyang,33.0004,112.53,CN
Bucharest,44.4334,26.0999,RO
Ningbo,29.88,121.55,CN
Douala,4.0604,9.71,CM
Tangshan,39.6243,118.1944,CN
Tainan,23,120.2,TW
Xiping,40.08,113.3,CN
Asuncion,-25.2964,-57.6415,PY
Saidu Sharif,34.75,72.35,PK
Brisbane,-27.455,153.0351,AU
Rawalpindi,33.6,73.04,PK
Sacramento,38.5667,-121.4683,US
Beirut,33.872,35.5097,LB
San Jose,37.3021,-121.8489,US
Minsk,53.9,27.5666,BY
Kyoto,35.03,135.75,JP
Barranquilla,10.96,-74.8,CO
Orlando,28.4772,-81.3369,US
Shuyangzha,34.1299,118.7734,CN
Valencia,10.23,-67.98,VE
Hamburg,53.55,10,DE
Vadodara,22.31,73.18,IN
Manaus,-3.1,-60,BR
Shangqiu,34.4504,115.65,CN
Wuxi,31.58,120.3,CN
Palembang,-2.98,104.75,ID
Brussels,50.8333,4.3333,BE
Essen,51.45,7.0166,DE
Cleveland,41.4767,-81.6805,US
Bhopal,23.25,77.41,IN
Hohhot,40.82,111.66,CN
Pittsburgh,40.4396,-79.9763,US
Luoyang,34.68,112.4701,CN
Santos,-23.9537,-46.3329,BR
Jingling,30.6501,113.16,CN
Warsaw,52.25,21,PL
Rabat,34.0253,-6.8361,MA
Vitoria,-20.324,-40.366,BR
Quito,-0.215,-78.5001,EC
Antananarivo,-18.9166,47.5166,MG
Coimbatore,11,76.95,IN
Daqing,46.58,125,CN
Lu'an,31.7503,116.48,CN
Sanzhou,30.82,108.4,CN
Budapest,47.5,19.0833,HU
Turin,45.0704,7.67,IT
Suzhou,31.3005,120.62,CN
Ludhiana,30.9278,75.8723,IN
Cincinnati,39.1412,-84.506,US
Kumasi,6.69,-1.63,GH
Manhattan,40.7834,-73.9662,US
Qiqihar,47.345,123.99,CN
Anshan,41.115,122.94,CN
Austin,30.3006,-97.7517,US
Zhongli,24.965,121.2168,TW
Handan,36.58,114.48,CN
Tai'an,36.2,117.1201,CN
Esfahan,32.7,51.7,IR
Kansas City,39.1239,-94.5541,US
Yaounde,3.8667,11.5167,CM
Shantou,23.37,116.67,CN
Agra,27.1704,78.015,IN
Zhanjiang,21.2,110.38,CN
La Paz,-16.498,-68.15,BO
Kalyan,19.2502,73.1602,IN
Abuja,9.0833,7.5333,NG
Harare,-17.8178,31.0447,ZW
Indianapolis,39.7771,-86.1458,US
Xiantao,30.3704,113.44,CN
Khulna,22.84,89.56,BD
Weifang,36.7204,119.1001,CN
Tijuana,32.5,-117.08,MX
Santiago,19.5,-70.67,DO
Xinyang,32.1304,114.07,CN
Luzhou,28.88,105.38,CN
Perth,-31.955,115.84,AU
Toluca,19.3304,-99.67,MX
Vishakhapatnam,17.73,83.305,IN
Leeds,53.83,-1.58,GB
Kobe,34.68,135.17,JP
Columbus,39.986,-82.9851,US
Multan,30.2,71.455,PK
Kochi,10.015,76.2239,IN
Montevideo,-34.858,-56.1711,UY
Gujranwala,32.1604,74.185,PK
Niteroi,-22.9,-43.1,BR
Ganzhou,25.92,114.95,CN
Florence,43.78,11.25,IT
Liuzhou,24.28,109.25,CN
Bamako,12.65,-8,ML
Conakry,9.5315,-13.6802,GN
Bursa,40.2,29.07,TR
Leon de los Aldama,21.15,-101.7,MX
Virginia Beach,36.7335,-76.0435,US
Nasik,20.0004,73.78,IN
Fushun,41.8654,123.87,CN
Changde,29.03,111.68,CN
Daejeon,36.3355,127.425,KR
Charlotte,35.2079,-80.8304,US
Phnom Penh,11.55,104.9166,KH
Neijiang,29.5804,105.05,CN
Quanzhou,24.9,118.58,CN
Kharkiv,50,36.25,UA
Hyderabad City,25.38,68.375,PK
Bronx,40.8501,-73.8662,US
Lome,6.1319,1.2228,TG
Cordoba,-31.4,-64.1823,AR
Huainan,32.63,116.98,CN
Doha,25.2866,51.533,QA
Kuala Lumpur,3.1667,101.7,MY
Maputo,-25.9553,32.5892,MZ
Kaduna,10.52,7.44,NG
Gwangju,35.171,126.9104,KR
Kawanakajima,35.53,139.705,JP
San Salvador,13.71,-89.203,SV
Suining,30.5333,105.5333,CN
Lyon,45.77,4.83,FR
Karaj,35.8004,50.97,IR
Kampala,0.3167,32.5833,UG
Tabriz,38.0863,46.3012,IR
The Hague,52.08,4.27,NL
Davao,7.11,125.63,PH
Marseille,43.29,5.375,FR
Meerut,29.0004,77.7,IN
Mianyang,31.47,104.77,CN
Semarang,-6.9666,110.42,ID
Faridabad,28.4333,77.3167,IN
Novosibirsk,55.03,82.96,RU
Mecca,21.43,39.82,SA
Dubai,25.23,55.28,AE
Milwaukee,43.0642,-87.9673,US
Auckland,-36.8481,174.763,NZ
Ma'anshan,31.7304,118.48,CN
Brazzaville,-4.2592,15.2847,CG
Yiyang,28.6004,112.33,CN
Varanasi,25.33,83,IN
Lubumbashi,-11.68,27.48,CD
Juarez,31.6904,-106.49,MX
Ghaziabad,28.6604,77.4084,IN
Pretoria,-25.7069,28.2294,ZA
Heze,35.23,115.45,CN
Porto,41.15,-8.62,PT
Asansol,23.6833,86.9833,IN
Lusaka,-15.4166,28.2833,ZM
Changzhou,31.78,119.97,CN
Mosul,36.345,43.145,IQ
Yekaterinburg,56.85,60.6,RU
Peshawar,34.005,71.535,PK
Mandalay,21.97,96.085,MM
Jamshedpur,22.7875,86.1975,IN
Mbuji-Mayi,-6.15,23.6,CD
Madura,9.92,78.12,IN
Adana,36.995,35.32,TR
Sheffield,53.3667,-1.5,GB
Jabalpur,23.1751,79.9551,IN
San Jose,9.935,-84.0841,CR
Panama City,8.968,-79.533,PA
Nizhniy Novgorod,56.333,44.0001,RU
Chifeng,42.27,118.95,CN
Duisburg,51.43,6.75,DE
Munich,48.1299,11.575,DE
Huaiyin,33.58,119.03,CN
Stockholm,59.3508,18.0973,SE
Makassar,-5.14,119.432,ID
Rajkot,22.31,70.8,IN
Dhanbad,23.8004,86.42,IN
Mudanjiang,44.575,129.59,CN
Geneva,46.21,6.14,CH
Shiraz,29.63,52.57,IR
Huzhou,30.8704,120.1,CN
Beidao,34.6,105.92,CN
Shuangshui,26.5944,104.8333,CN
Dusseldorf,51.2204,6.78,DE
Gaozhou,21.9204,110.87,CN
Sevilla,37.405,-5.98,ES
Amritsar,31.64,74.87,IN
Vila Velha,-20.3676,-40.318,BR
Vila Velha,3.2167,-51.2167,BR
Almaty,43.325,76.915,KZ
Providence,41.823,-71.4187,US
Warangal,18.01,79.58,IN
Rosario,-32.9511,-60.6663,AR
Allahabad,25.455,81.84,IN
Benin City,6.3405,5.62,NG
Jining,35.4004,116.55,CN
Maceio,-9.62,-35.73,BR
Sofia,42.6833,23.3167,BG
Abbottabad,34.1495,73.1995,PK
Benghazi,32.1167,20.0667,LY
Cilacap,-7.7188,109.0154,ID
Prague,50.0833,14.466,CZ
Glasgow,55.8744,-4.2507,GB
Leshan,29.5671,103.7333,CN
Jacksonville,30.3322,-81.6749,US
Ouagadougou,12.3703,-1.5247,BF
Ottawa,45.4167,-75.7,CA
Adelaide,-34.935,138.6,AU
Shangrao,28.4704,117.97,CN
Torreon,25.5701,-103.42,MX
Srinagar,34.1,74.815,IN
Bezwada,16.52,80.63,IN
Samara,53.195,50.1513,RU
Omsk,54.99,73.4,RU
Newcastle,-32.8453,151.815,AU
Yulin,22.63,110.15,CN
Namp'o,38.7669,125.4524,KP
Xianyang,34.3456,108.7147,CN
Cagayan de Oro,8.4508,124.6853,PH
Can Tho,10.05,105.77,VN
Barquisimeto,10.05,-69.3,VE
Helsinki,60.1756,24.9341,FI
Kazan',55.7499,49.1263,RU
Aurangabad,19.8957,75.3203,IN
Calgary,51.083,-114.08,CA
Ciudad Nezahualcoyotl,19.41,-99.03,MX
Zurich,47.38,8.55,CH
Baoding,38.8704,115.48,CN
Zigong,29.4,104.78,CN
Sharjah,25.3714,55.4065,AE
Yerevan,40.1812,44.5136,AM
Mogadishu,2.0667,45.3667,SO
Tbilisi,41.725,44.7908,GE
Ankang,32.68,109.02,CN
Huambo,-12.75,15.76,AO
Ikare,7.5304,5.76,NG
Belgrade,44.8186,20.468,RS
Salt Lake City,40.7774,-111.93,US
Bhilai,21.2167,81.4333,IN
Jinhua,29.12,119.65,CN
Chelyabinsk,55.155,61.4387,RU
Natal,-5.78,-35.24,BR
Dushanbe,38.56,68.7739,TJ
Copenhagen,55.6786,12.5635,DK
Changwon,35.2191,128.5836,KR
Zhuzhou,27.83,113.15,CN
Suwon,37.2578,127.0109,KR
Nashville,36.1715,-86.7843,US
Vereeniging,-26.6496,27.96,ZA
Xiangyang,32.02,112.13,CN
Memphis,35.1046,-89.9773,US
Ulsan,35.5467,129.317,KR
Amman,31.95,35.9333,JO
Mizhou,35.99,119.3801,CN
Richmond,37.5295,-77.4756,US
Dublin,53.3331,-6.2489,IE
Edmonton,53.55,-113.5,CA
Solapur,17.6704,75.9,IN
Rostov-na-Donu,47.2346,39.7127,RU
Dnipro,48.48,35,UA
Xining,36.62,101.77,CN
Zhangjiakou,40.83,114.93,CN
Lille,50.65,3.08,FR
Ranchi,23.37,85.33,IN
Gaziantep,37.075,37.385,TR
Monrovia,6.3106,-10.8048,LR
Sao Luis,-2.516,-44.266,BR
Amsterdam,52.35,4.9166,NL
Jerusalem,31.7784,35.2066,IL
New Orleans,30.0687,-89.9288,US
Guatemala City,14.6211,-90.527,GT
Zhuhai,22.2769,113.5678,CN
Florianopolis,-27.58,-48.52,BR
Port Elizabeth,-33.97,25.6,ZA
Jiamusi,46.83,130.35,CN
Port Harcourt,4.81,7.01,NG
Raleigh,35.8324,-78.6438,US
Ufa,54.79,56.04,RU
Hengyang,26.88,112.59,CN
Benxi,41.3304,123.75,CN
Louisville,38.1663,-85.6485,US
Haifa,32.8204,34.98,IL
Medina,24.5,39.58,SA
Bucaramanga,7.1301,-73.1259,CO
Maracay,10.2469,-67.5958,VE
Rotterdam,51.92,4.48,NL
Homs,34.73,36.72,SY
Cologne,50.93,6.95,DE
Qinhuangdao,39.9304,119.62,CN
Fes,34.0546,-5.0004,MA
N'Djamena,12.1131,15.0491,TD
Tegucigalpa,14.102,-87.2175,HN
Kingston,17.9771,-76.7674,JM
Nay Pyi Taw,19.7666,96.1186,MM
Djibouti,11.595,43.148,DJ
Managua,12.153,-86.2685,NI
Niamey,13.5167,2.1167,NE
Tirana,41.3275,19.8189,AL
Kathmandu,27.7167,85.3166,NP
Ulaanbaatar,47.9167,106.9166,MN
Kigali,-1.9536,30.0605,RW
Bishkek,42.8731,74.5852,KG
Oslo,59.9167,10.75,NO
Bangui,4.3666,18.5583,CF
Freetown,8.47,-13.2342,SL
Islamabad,33.7,73.1666,PK
Cotonou,6.4,2.52,BJ
Vientiane,17.9667,102.6,LA
Riga,56.95,24.1,LV
Nouakchott,18.0864,-15.9753,MR
Muscat,23.6133,58.5933,OM
Ashgabat,37.95,58.3833,TM
Zagreb,45.8,16,HR
Sarajevo,43.85,18.383,BA
Chisinau,47.005,28.8577,MD
Lilongwe,-13.9833,33.7833,MW
Asmara,15.3333,38.9333,ER
Abu Dhabi,24.4667,54.3666,AE
Port Louis,-20.1666,57.5,MU
Libreville,0.3854,9.458,GA
Manama,26.2361,50.5831,BH
Vilnius,54.6834,25.3166,LT
Skopje,42,21.4335,MK
Bloemfontein,-29.12,26.2299,ZA
Bratislava,48.15,17.117,SK
Bissau,11.865,-15.5984,GW
Tallinn,59.4339,24.728,EE
Wellington,-41.3,174.7833,NZ
Valletta,35.8997,14.5147,MT
Maseru,-29.3167,27.4833,LS
Nur-Sultan,51.1811,71.4278,KZ
Bujumbura,-3.3761,29.36,BI
Canberra,-35.283,149.129,AU
New Delhi,28.6,77.2,IN
Ljubljana,46.0553,14.515,SI
Porto-Novo,6.4833,2.6166,BJ
Bandar Seri Begawan,4.8833,114.9333,BN
Port of Spain,10.652,-61.517,TT
Port Moresby,-9.4647,147.1925,PG
Bern,46.9167,7.467,CH
Windhoek,-22.57,17.0835,NA
Georgetown,6.802,-58.167,GY
Paramaribo,5.835,-55.167,SR
Dili,-8.5594,125.5795,TL
Nassau,25.0834,-77.35,BS
Sucre,-19.041,-65.2595,BO
Nicosia,35.1667,33.3666,CY
Dodoma,-6.1833,35.75,TZ
Colombo,6.932,79.8578,LK
Gaborone,-24.6463,25.9119,BW
Yamoussoukro,6.8184,-5.2755,CI
Bridgetown,13.102,-59.6165,BB
Suva,-18.133,178.4417,FJ
Reykjavik,64.15,-21.95,IS
Malabo,3.75,8.7833,GQ
Willemstad,12.2004,-69.02,CW
Podgorica,42.466,19.2663,ME
Moroni,-11.7042,43.2402,KM
Sri Jayewardenepura Kotte,6.9,79.95,LK
Praia,14.9167,-23.5167,CV
Male,4.1667,73.4999,MV
Juba,4.83,31.58,SS
Luxembourg,49.6117,6.13,LU
Thimphu,27.473,89.639,BT
Mbabane,-26.3167,31.1333,SZ
Sao Tome,0.3334,6.7333,ST
Honiara,-9.438,159.9498,SB
Oranjestad,12.5304,-70.029,AW
Apia,-13.8415,-171.7386,WS
Andorra la Vella,42.5,1.5165,AD
Kingstown,13.1483,-61.2121,VC
Port-Vila,-17.7334,168.3166,VU
Banjul,13.4539,-16.5917,GM
Nuku`alofa,-21.1385,-175.2206,TO
Castries,14.002,-61,LC
Monaco,43.7396,7.4069,MC
Vaduz,47.1337,9.5167,LI
Saint John's,17.118,-61.85,AG
Saint George's,12.0526,-61.7416,GD
Victoria,-4.6166,55.45,SC
San Marino,43.9172,12.4667,SM
Tarawa,1.3382,173.0176,KI
Majuro,7.103,171.38,MH
Roseau,15.301,-61.387,DM
Basseterre,17.302,-62.717,KN
Belmopan,17.252,-88.7671,BZ
Pago Pago,-14.274,-170.7046,AS
Lobamba,-26.4667,31.2,SZ
Funafuti,-8.5167,179.2166,TV
Palikir,6.9166,158.15,FM
Capitol Hill,15.2137,145.7546,MP
Hagta,13.4745,144.7504,GU
Al Quds,31.7764,35.2269,XW
Philipsburg,18.0255,-63.045,SX
Gitega,-3.4271,29.9246,BI
Pristina,42.6666,21.1724,XK
Ngerulmud,7.5,134.6242,PW
Aden,12.7797,45.0095,YE
Cochabamba,-17.41,-66.17,BO
Yongzhou,26.2304,111.62,CN
Baoshan,25.12,99.15,CN
Quang Ha,16.06,108.25,VN
Kitaku,33.8704,130.82,JP
Perm',58,56.25,RU
Ahvaz,31.28,48.72,IR
Jodhpur,26.2918,73.0168,IN
San Luis Potosi,22.17,-101,MX
Odesa,46.49,30.71,UA
Yinchuan,38.468,106.273,CN
Jiaxing,30.7704,120.75,CN
Joinvile,-26.32,-48.8399,BR
Donets'k,48,37.83,UA
Guilin,25.28,110.28,CN
Dahuk,36.8667,43,IQ
Volgograd,48.71,44.5,RU
Guwahati,26.16,91.77,IN
Yichun,27.8333,114.4,CN
Yangquan,37.87,113.57,CN
Natal,-6.9838,-60.2699,BR
Chandigarh,30.72,76.78,IN
Gwalior,26.23,78.1801,IN
Hamamatsu,34.7181,137.7327,JP
Qom,34.65,50.95,IR
Jixi,45.3,130.97,CN
Merida,20.9666,-89.6166,MX
Xin'an,34.38,118.35,CN
Queretaro,20.63,-100.38,MX
Pingxiang,27.62,113.85,CN
Joao Pessoa,-7.1011,-34.8761,BR
Klang,3.0204,101.55,MY
Jinzhou,41.1204,121.1,CN
Oklahoma City,35.4676,-97.5137,US
Salerno,40.6804,14.7699,IT
Thiruvananthapuram,8.5,76.95,IN
Calicut,11.2504,75.77,IN
Trichinopoly,10.81,78.69,IN
Ogbomoso,8.13,4.24,NG
General Santos,6.1108,125.1747,PH
Hue,16.47,107.58,VN
Bacolod,10.6317,122.9817,PH
Nantong,32.0304,120.825,CN
Foshan,23.0301,113.12,CN
Songnam,37.4386,127.1378,KR
Bridgeport,41.1918,-73.1953,US
Nice,43.715,7.265,FR
Buffalo,42.9017,-78.8487,US
Erbil,36.179,44.0086,IQ
Krasnoyarsk,56.014,92.866,RU
Olinda,-8,-34.85,BR
Antwerp,51.2204,4.415,BE
Konya,37.875,32.475,TR
Bogor,-6.57,106.75,ID
Hartford,41.7661,-72.6834,US
Huaibei,33.9504,116.75,CN
Xinyu,27.8,114.93,CN
Teresina,-5.095,-42.78,BR
Naha,26.2072,127.673,JP
Goyang,37.6527,126.8372,KR
Nangandao,35.3204,113.87,CN
Yibin,28.77,104.57,CN
Aba,5.1004,7.35,NG
Maiduguri,11.85,13.16,NG
Az Zarqa',32.07,36.1,JO
Tarsus,36.9204,34.88,TR
Bengbu,32.95,117.33,CN
Mendoza,-32.8833,-68.8166,AR
Hubli,15.36,75.125,IN
Concepcion,-36.83,-73.05,CL
Zaria,11.08,7.71,NG
Dengtalu,36.08,114.35,CN
Cartagena,10.3997,-75.5144,CO
Mysore,12.31,76.66,IN
Mexicali,32.65,-115.48,MX
Tongliao,43.62,122.27,CN
Mombasa,-4.04,39.6899,KE
Newcastle upon Tyne,55.0004,-1.6,GB
Novo Hamburgo,-29.7096,-51.14,BR
Callao,-12.07,-77.135,PE
Bilbao,43.25,-2.93,ES
Johor Bahru,1.48,103.73,MY
Raipur,21.235,81.635,IN
Xiaoxita,30.7,111.28,CN
Fort Worth,32.7812,-97.3472,US
Salem,11.67,78.1801,IN
Yangjiang,21.8504,111.97,CN
Marrakech,31.63,-8,MA
Kaifeng Chengguanzhen,34.85,114.35,CN
Dandong,40.1436,124.3936,CN
Al Basrah,30.5135,47.8136,IQ
Aguascalientes,21.8795,-102.2904,MX
Tucson,32.1545,-110.8782,US
Okayama,34.672,133.9171,JP
Bucheon,37.4989,126.7831,KR
Xuanzhou,30.9525,118.7553,CN
Bandar Lampung,-5.43,105.27,ID
Rizhao,35.4304,119.45,CN
Palermo,38.125,13.35,IT
Caerdydd,51.5,-3.225,GB
Tampico,22.3,-97.87,MX
Jiaozuo,35.25,113.22,CN
Padang,-0.96,100.36,ID
Jalandhar,31.3349,75.569,IN
Zhenjiang,32.22,119.43,CN
Valparaiso,-33.0478,-71.621,CL
Pingdingshan,33.7304,113.3,CN
Zunyi,27.7,106.92,CN
Anshun,26.2504,105.93,CN
Toulouse,43.62,1.4499,FR
El Paso,31.8479,-106.4309,US
Iguacu,-22.74,-43.47,BR
Bhubaneshwar,20.2704,85.8274,IN
Voronezh,51.73,39.27,RU
Saratov,51.58,46.03,RU
Yuci,37.6804,112.73,CN
Yancheng,33.3856,120.1253,CN
Cuernavaca,18.9211,-99.24,MX
Linfen,36.0803,111.52,CN
Honolulu,21.3294,-157.846,US
Warri,5.52,5.76,NG
Basel,47.5804,7.59,CH
San Miguel de Tucuman,-26.816,-65.2166,AR
Kermanshah,34.38,47.06,IR
Thessaloniki,40.6961,22.885,GR
Omaha,41.2628,-96.0498,US
Kota,25.18,75.835,IN
Braga,41.555,-8.4213,PT
Jhansi,25.453,78.5575,IN
Rongjiawan,29.3801,113.1,CN
Nottingham,52.9703,-1.17,GB
Agadir,30.44,-9.62,MA
Butterworth,5.4171,100.4,MY
Bareilly,28.3454,79.42,IN
Jos,9.93,8.89,NG
Xingyi,25.0904,104.89,CN
Cebu City,10.32,123.9001,PH
Arequipa,-16.42,-71.53,PE
Liverpool,53.416,-2.918,GB
Wuhu,31.3504,118.37,CN
Langfang,39.5204,116.68,CN
Rajshahi,24.375,88.605,BD
Zhaotong,27.3204,103.72,CN
Culiacan,24.83,-107.38,MX
Valencia,39.485,-0.4,ES
Lingyuan,41.24,119.4011,CN
Cuiaba,-15.5696,-56.085,BR
Quy Nhon,13.78,109.18,VN
Malang,-7.98,112.61,ID
Aligarh,27.8922,78.0618,IN
L'viv,49.835,24.03,UA
Bordeaux,44.85,-0.595,FR
McAllen,26.2273,-98.2471,US
Baojishi,34.38,107.15,CN
Pekanbaru,0.565,101.425,ID
Oran,35.71,-0.62,DZ
Yingkou,40.6703,122.28,CN
Bhiwandi,19.35,73.13,IN
Liaoyang,41.28,123.18,CN
Chihuahua,28.645,-106.085,MX
